"Date","AKS","AM","COG","CPE","D","DVN","EQT","ESV","FOXF","GIG","GPOR","HES","MTDR","PE","PRAH","QEP","SABR","SE","SPWH","SRC","SWN","SYRG","WGP","USO","SPY"
"2016-06-03",13612400,403000,5332000,1634600,3157600,6990300,1031600,5013100,144100,198000,1044600,2079300,1002500,2107100,250600,3630300,1945300,4937200,585100,4676800,17511500,3730500,159500,19169900,101757100
"2016-06-02",9376300,433900,3600400,1394800,2248900,6622900,1530200,6468200,53700,517800,1571000,2451200,936400,2662500,408800,3845100,1563600,4189900,1019100,3119300,14363600,3658700,145400,22402100,63044700
"2016-06-01",11038200,390900,5308800,2784600,1929100,8027500,2601700,7017700,126900,349100,1460300,3284200,969100,2739900,421900,3643800,2550800,4003300,616400,3595200,16668900,4864800,271100,25553100,69936200
"2016-05-31",19062600,369200,6510800,2717700,3876800,6883100,2715400,7194500,65400,227900,1389800,2650500,1170400,2143200,394400,3668700,1795200,4745300,727100,4732100,15210500,9601300,244600,16850700,109879400
"2016-05-27",8003400,163100,4367700,2796700,1373100,5385500,1307900,7233600,68700,226800,1195800,3747200,981500,1855100,294100,3023700,1353900,2193800,463000,3158300,7917100,6079700,83300,14089100,64211200
"2016-05-26",13366100,296200,3295600,4840300,1846600,7546100,2896200,6599300,82800,311700,1557600,3399600,1135100,3102600,213400,4543700,1151200,2431500,557100,2747400,14778900,8660900,176700,21657700,55280700
"2016-05-25",12089600,432700,3625200,3850100,2055000,9777800,1162800,9932800,52800,509100,1679300,3708700,782200,3191200,542100,4522100,1336700,3505200,2975400,6268900,15074200,5001200,139800,24984100,76621400
"2016-05-24",9437500,636500,2817500,3635500,1974200,7883800,1647400,6039000,79600,789500,2828400,2311700,898100,8438200,350600,3864200,2266900,2916500,911100,5441200,11815000,3814700,242300,17092900,93537800
"2016-05-23",9380500,450700,3338900,1958300,2014900,6494600,1862000,8478800,77700,907100,1578000,2558600,1175600,2490200,534200,4126900,1741700,2773800,1201600,4335600,9429400,5064700,128400,16281100,58682600
"2016-05-20",6817500,540600,3297900,1658200,2155800,7720300,1372700,7944500,42400,376100,1527300,2743400,846400,1713700,396200,5271900,1868300,2802200,650800,3897500,14899100,3388200,146800,19220000,104990400
"2016-05-19",7671500,724300,6565600,3113700,2902100,8081000,1130700,9485900,61300,273800,1599600,3838400,851200,2562900,229300,5503400,2551300,3324600,650000,5540800,19664800,3464100,379200,21902500,115430500
"2016-05-18",11757700,1027600,6748900,2892700,3451200,9759700,1329000,8075200,89700,356400,1194000,4001400,1169900,1704100,385400,4784300,4364300,3704300,761500,4957500,12058200,5224800,238900,29425500,123493400
"2016-05-17",10820400,632900,4361300,3456500,2309800,9807600,1985300,6441400,130400,516600,1803800,4640400,1180700,3366200,414800,3489300,3049500,3975300,467700,8536800,14275800,6207400,450000,22310900,114924900
"2016-05-16",9639900,1416900,4983800,2810800,1513700,8588000,1398300,5569000,190100,986400,2137800,3339000,1188900,4172900,628200,3201800,3231800,3696200,367200,5545000,16449900,8435400,211400,26713400,77486800
"2016-05-13",9419700,235300,3843500,2637900,1723500,6731800,983200,7426300,61900,2741900,1100200,3216800,846100,2249200,862300,2900600,1952200,3372200,367400,3952600,13426000,5330700,68500,15230000,96474600
"2016-05-12",10318300,310500,3069800,2682100,2509700,9704200,1224400,8390100,73200,307400,1406800,3713000,992700,2589200,494700,3910000,2528000,3044100,454000,6446400,11559400,4348800,98500,23946400,89586300
"2016-05-11",11761600,512200,3658300,2814300,1837300,10725500,1397100,8095400,60800,120500,1735400,4455500,1309500,2056600,468400,4811600,2872600,2899900,400600,4536800,11595500,5680900,140000,29338200,81727000
"2016-05-10",13553400,354800,4799200,2036000,1702100,7598600,1313900,6141900,83800,186400,1377100,4443400,1273200,2746100,415500,2954100,2532300,3807900,186800,3677300,10089100,6531100,316600,21055100,77472200
"2016-05-09",25584400,273100,4809400,3342400,2059600,9751500,1371800,8497000,130200,437400,2020000,3164800,1589800,2714100,725400,3489100,1612600,4192100,216900,4083400,9917300,10581200,130200,22143100,74374900
